,ticker,datetime,date,time,headline,neg,neu,pos,compound
0,AAPL,2021-01-15 20:19:00,Jan-15-21,08:19PM,An Unusually High Score Takes Barrons 2020 Quiz,0.0,1.0,0.0,0.0
1,AAPL,2021-01-15 18:07:00,Jan-15-21,06:07PM,Daily Crunch: WhatsApp responds to privacy backlash,0.0,1.0,0.0,0.0
2,AAPL,2021-01-15 17:55:00,Jan-15-21,05:55PM,Intel Made the Right CEO Choice With Pat Gelsinger. A Rebound Will Still Take Time.,0.0,1.0,0.0,0.0
3,AAPL,2021-01-15 16:51:00,Jan-15-21,04:51PM,"Apple TV Plus Free Subscriptions Extended Again, This Time Through July 2021",0.0,0.769,0.231,0.5106
4,AAPL,2021-01-15 16:08:00,Jan-15-21,04:08PM,Apple Considers Foldable iPhone; Minor Changes Planned for 2021 Models,0.0,1.0,0.0,0.0
5,AAPL,2021-01-15 15:10:00,Jan-15-21,03:10PM,Michelob Ultra Goes Greener With Aluminum in MacBooks,0.0,1.0,0.0,0.0
6,AAPL,2021-01-15 14:54:00,Jan-15-21,02:54PM,"Dow Jones Stocks To Buy And Watch In January 2021: Apple, Microsoft",0.0,1.0,0.0,0.0
7,AAPL,2021-01-15 14:54:00,Jan-15-21,02:54PM,Apple CEO Tim Cook Says Parler Suspension and Free Speech Unrelated,0.0,0.752,0.248,0.5106
8,AAPL,2021-01-15 14:53:00,Jan-15-21,02:53PM,Apple is extending Apple TV+ trials again,0.0,1.0,0.0,0.0
9,AAPL,2021-01-15 14:40:00,Jan-15-21,02:40PM,"As Cookie Crumbles In Digital Advertising, Google And Apple May Benefit",0.0,0.769,0.231,0.4588
10,AAPL,2021-01-15 14:01:00,Jan-15-21,02:01PM,"Wedbush: Tesla Stock Has Double-Digit Upside, But Don't Buy TSLA",0.0,1.0,0.0,0.0
11,AAPL,2021-01-15 13:00:00,Jan-15-21,01:00PM,Foxconn Taps Nio Co-Founder Jack Cheng To Lead New Open EV Platform,0.0,1.0,0.0,0.0
12,AAPL,2021-01-15 12:49:00,Jan-15-21,12:49PM,Netflix to release new movies every week in 2021,0.0,1.0,0.0,0.0
13,AAPL,2021-01-15 12:47:00,Jan-15-21,12:47PM,Apple Plans First iMac Desktop Redesign in Nearly a Decade,0.0,1.0,0.0,0.0
14,AAPL,2021-01-15 12:45:00,Jan-15-21,12:45PM,"Google Play is unsportsmanlike, U.S. states likely to argue in potential lawsuit",0.274,0.573,0.153,-0.2263
15,AAPL,2021-01-15 12:43:00,Jan-15-21,12:43PM,"10 best tablets that are perfect for drawing, gaming and note taking",0.0,0.559,0.441,0.836
16,AAPL,2021-01-15 12:43:00,Jan-15-21,12:43PM,"10 best tablets for Zoom, gaming and films",0.0,0.625,0.375,0.6369
17,AAPL,2021-01-15 11:54:00,Jan-15-21,11:54AM,"Top Stock Reports for Apple, Mastercard & Sanofi",0.0,0.769,0.231,0.2023
18,AAPL,2021-01-15 11:16:00,Jan-15-21,11:16AM,Apple CEO Tim Cook Defends Parler App Suspension: We Dont Consider That Free Speech,0.172,0.828,0.0,-0.4023
19,AAPL,2021-01-15 10:40:00,Jan-15-21,10:40AM,Apple Stock Set for Really Big Year With Strong iPhone and Mac Demand,0.095,0.696,0.209,0.4215
20,AAPL,2021-01-15 09:55:00,Jan-15-21,09:55AM,Apple bear throws cold water on supercycle story despite strong holiday momentum,0.332,0.668,0.0,-0.6072
21,AAPL,2021-01-15 09:12:00,Jan-15-21,09:12AM,"New MacBook Pro to get rid of controversial Touch Bar and revive beloved MagSafe charging port, reports claim",0.08,0.667,0.253,0.5994
22,AAPL,2021-01-15 09:12:00,Jan-15-21,09:12AM,Apple said to be planning new 14- and 16-inch MacBook Pros with MagSafe and Apple processors,0.0,1.0,0.0,0.0
23,AAPL,2021-01-15 09:12:00,Jan-15-21,09:12AM,Joe Biden's $1.9 trillion stimulus plan could wreck Wall Street's favorite money-making trade,0.172,0.651,0.178,0.0258
24,AAPL,2021-01-15 09:10:00,Jan-15-21,09:10AM,SAP Q4 Preliminary Results Reflect Resilient Cloud Business,0.0,1.0,0.0,0.0
25,AAPL,2021-01-15 08:57:00,Jan-15-21,08:57AM,Dow Jones Futures: $1.9 Trillion Biden Stimulus Plan Unveiled; JPMorgan Earnings Beat Views,0.0,1.0,0.0,0.0
26,AAPL,2021-01-15 08:30:00,Jan-15-21,08:30AM,World's Third-Largest Smartphone Maker Added to U.S. Military Blacklist,0.0,1.0,0.0,0.0
27,AAPL,2021-01-15 08:11:00,Jan-15-21,08:11AM,"Biden Stimulus, JPMorgan Chase, Tesla, Apple - 5 Things You Must Know Friday",0.0,1.0,0.0,0.0
28,AAPL,2021-01-15 08:07:00,Jan-15-21,08:07AM,Can Tech Giants Give Tesla a Run for Its Money?,0.0,1.0,0.0,0.0
29,AAPL,2021-01-15 08:06:00,Jan-15-21,08:06AM,What JPMorgan Earnings Say About the Economy,0.0,1.0,0.0,0.0
30,AAPL,2021-01-15 07:25:00,Jan-15-21,07:25AM,"Teslas new $950 stock price target at Wedbush is the highest on Wall Street, but the analyst still wont say buy",0.0,1.0,0.0,0.0
31,AAPL,2021-01-15 06:00:00,Jan-15-21,06:00AM,Biden is the right man to address inequality: Democratic megadonor,0.0,1.0,0.0,0.0
32,AAPL,2021-01-15 05:31:00,Jan-15-21,05:31AM,Apple Could Bring Radical Changes To MacBook Pro 2021: What We Know,0.0,1.0,0.0,0.0
33,AAPL,2021-01-15 04:56:00,Jan-15-21,04:56AM,U.S. Blacklists Xiaomi in Widening Assault on China Tech,0.322,0.678,0.0,-0.5859
34,AAPL,2021-01-15 04:13:00,Jan-15-21,04:13AM,"U.S. Targets Xiaomi, Cnooc in Trumps Late Anti-China Push",0.0,1.0,0.0,0.0
35,AAPL,2021-01-15 03:40:00,Jan-15-21,03:40AM,Trumps Move Cost Bosses at China Tech Giant $4.5 Billion,0.0,1.0,0.0,0.0
36,AAPL,2021-01-15 01:40:00,Jan-15-21,01:40AM,Apple Plans Upgraded MacBook Pros With Return of Magnetic Charging,0.0,1.0,0.0,0.0
37,AAPL,2021-01-14 23:25:00,Jan-14-21,11:25PM,Chipmaking Tool Supplier Expects Demand Boom to Last Years,0.158,0.842,0.0,-0.128
38,AAPL,2021-01-14 23:11:00,Jan-14-21,11:11PM,Is There Now An Opportunity In Apple Inc. (NASDAQ:AAPL)?,0.0,0.741,0.259,0.4215
39,AAPL,2021-01-14 20:30:00,Jan-14-21,08:30PM,TSMCs $28 Billion Spending Blitz Ignites a Global Chip Rally,0.0,1.0,0.0,0.0
40,AAPL,2021-01-14 20:05:00,Jan-14-21,08:05PM,Vinod Khosla Explains Why the EV Industry Is Worth Billions More Than Traditional Cars,0.0,0.872,0.128,0.2263
41,AAPL,2021-01-14 19:24:00,Jan-14-21,07:24PM,Xiaomi Shares Plunge More Than 12% Over Inclusion on U.S. Blacklist,0.0,0.82,0.18,0.296
42,AAPL,2021-01-14 17:43:00,Jan-14-21,05:43PM,"Apple, DocuSign Lead 3 Top Growth Names Flashing These Buy Signals",0.0,0.645,0.355,0.5267
43,AAPL,2021-01-14 17:01:00,Jan-14-21,05:01PM,The Stock Market Had a Better Day Than it Seemed. Thank Fiscal Stimulus.,0.0,0.649,0.351,0.6597
44,AAPL,2021-01-14 16:47:00,Jan-14-21,04:47PM,"Epic Widens Fortnite Dispute With Apple, Google in U.K.",0.252,0.748,0.0,-0.4019
45,AAPL,2021-01-14 16:23:00,Jan-14-21,04:23PM,"Study: Investors Say Tesla, Apple And Microsoft Were 2020's Top Stocks",0.0,0.847,0.153,0.2023
46,AAPL,2021-01-14 15:51:00,Jan-14-21,03:51PM,TSMC's Manufacturing Tech Lead Is Starting to Pay Off in a Bigger Way,0.113,0.887,0.0,-0.1027
47,AAPL,2021-01-14 15:43:00,Jan-14-21,03:43PM,Were cash flow neutral: IMAX CEO on recovery amid pandemic,0.0,1.0,0.0,0.0
48,AAPL,2021-01-14 14:58:00,Jan-14-21,02:58PM,"Tesla stock is 'very fully priced,' says investing legend Byron Wien",0.0,1.0,0.0,0.0
49,AAPL,2021-01-14 14:42:00,Jan-14-21,02:42PM,Taiwan Semi Is Betting $28 Billion on Rising Demand for Chips,0.13,0.87,0.0,-0.128
50,AAPL,2021-01-14 12:38:00,Jan-14-21,12:38PM,Capitol insurrection was 'a wake-up call': Cisco CEO,0.0,1.0,0.0,0.0
51,AAPL,2021-01-14 12:10:00,Jan-14-21,12:10PM,"The Zacks Analyst Blog Highlights: AT&T, Disney, Apple, Netflix and Amazon",0.0,0.855,0.145,0.1779
52,AAPL,2021-01-14 12:08:00,Jan-14-21,12:08PM,ViacomCBS CFO: streaming is a huge priority for us,0.0,0.753,0.247,0.3182
53,AAPL,2021-01-14 11:59:00,Jan-14-21,11:59AM,"Dow Jones Rallies As Biden Set To Unveil Stimulus Plan; Airbnb, DoorDash Hit New Buy Points",0.0,1.0,0.0,0.0
54,AAPL,2021-01-14 11:48:00,Jan-14-21,11:48AM,Warren Buffett's 5 Most Spectacular Earnings Charts,0.0,1.0,0.0,0.0
55,AAPL,2021-01-14 11:02:00,Jan-14-21,11:02AM,Netflix earnings outlook: 'we've never seen numbers this high: Rosenblatt's McTernan,0.0,1.0,0.0,0.0
56,AAPL,2021-01-14 10:49:00,Jan-14-21,10:49AM,5G Stocks To Buy And Watch: Will Augmented Reality Apps Kick In During 2021?,0.0,1.0,0.0,0.0
